Episode,Throughput_Mbps,JFI,MARL_Reward,Active_APs,Eval_Throughput_Mbps,Eval_JFI,Eval_Active_APs
618,469.05,0.613,0.77,5.53,,,
619,487.59,0.65,0.82,5.85,,,
620,456.41,0.609,0.76,5.57,,,
621,436.71,0.566,0.7,5.14,,,
622,451.05,0.595,0.74,5.33,,,
623,477.91,0.637,0.81,5.92,,,
624,486.86,0.646,0.83,6.0,,,
625,485.84,0.644,0.82,5.95,,,
626,493.99,0.659,0.83,5.95,,,
627,476.5,0.64,0.82,6.0,,,
628,490.69,0.66,0.83,5.96,,,
629,481.14,0.638,0.81,5.89,,,
630,491.45,0.656,0.83,5.98,,,
631,429.33,0.558,0.67,4.76,,,
632,488.61,0.649,0.83,6.0,,,
633,485.61,0.636,0.82,5.94,,,
634,491.86,0.653,0.83,5.97,,,
635,475.63,0.623,0.8,5.86,,,
636,485.24,0.657,0.83,5.98,,,
637,493.5,0.657,0.84,6.0,,,
638,495.56,0.662,0.84,5.98,,,
639,484.91,0.647,0.82,5.9,,,
640,492.83,0.655,0.84,6.0,,,
